Codigo_CVM,Assunto,Data_Entrega
19348,Informações consolidadas dos exercícios findos em 31 de dezembro de 2009 e 2010.,2011-02-22
19348,Informações consolidadas dos exercícios findos em 31 de março de 2011 e 2010.,2011-05-03
19348,Informações consolidadas dos exercícios findos em 30 de junho de 2011 e 2010.,2011-08-02
19348,Informações consolidadas dos exercícios findos em 30 de setembro de 2011 e 2010.,2011-11-01
19348,Informações consolidadas dos exercícios findos em 31 de dezembro de 2011 e 2010.,2012-02-07
19348,Informaçoes Consolidadas dos exercícios findos em 31 de março de 2012 e 2011,2012-04-24
19348,Informações consolidadas dos exercícios findos em 30 de junho de 2012 e 2011.,2012-07-24
19348,Informações consolidadas dos exercícios findos em 30 de setembro de 2012 e 2011.,2012-10-23
19348,Informações consolidadas dos exercícios findos em 31 de dezembro de 2012 e 2011.,2013-02-05
19348,Informações consolidadas dos exercícios findos em 31 de março de 2013 e 2012.,2013-04-30
19348,Informações consolidadas dos exercícios findos em 30 de junho de 2013 e 2012.,2013-07-30
19348,Informações consolidadas dos exercícios findos em 30 de setembro de 2013 e 2012.,2013-10-29
19348,Informações consolidadas dos exercícios findos em 31 de dezembro de 2013 e 2012.,2014-02-04
19348,Informações consolidadas dos exercícios findos em 31 de março de 2014 e 2013.,2014-04-29
19348,Informações consolidadas dos exercícios findos em 30 de junho de 2014 e 2013.,2014-08-05
19348,Informações consolidadas dos exercícios findos em 30 de setembro de 2014 e 2013.,2014-11-04
19348,Informações consolidadas dos exercícios findos em 31 de dezembro de 2014 e 2013.,2015-02-03
19348,Informações consolidadas dos exercícios findos em 31 de março de 2015 e 2014.,2015-05-05
19348,Informações consolidadas dos exercícios findos em 30 de junho de 2015 e 2014.,2015-08-04
19348,Informações consolidadas dos exercícios findos em 30 de setembro de 2015 e 2014.,2015-11-03
19348,Informações consolidadas dos exercícios findos em 31 de dezembro de 2015 e 2014.,2016-02-02
19348,Informações consolidadas dos exercícios findos em 31 de março de 2016 e 2015.,2016-05-03
19348,Informações consolidadas dos exercícios findos em 30 de junho de 2016 e 2015.,2016-08-02
19348,Informações consolidadas dos exercícios findos em 30 de setembro de 2016 e 2015.,2016-10-31
19348,Informações consolidadas dos exercícios findos em 31 de dezembro de 2016 e 2015.,2017-02-07
19348,Informações consolidadas dos exercícios findos em 31 de março de 2017 e 2016.,2017-05-03
19348,Informações consolidadas dos exercícios findos em 30 de junho de 2017 e 2016.,2017-07-31
19348,Informações consolidadas dos exercícios findos em 30 de setembro de 2017 e 2016.,2017-10-30
19348,Informações consolidadas dos exercícios findos em 31 de dezembro de 2017 e 2016.,2018-02-05
19348,Informações consolidadas dos exercícios findos em 31 de março de 2018 e 2017.,2018-05-01
19348,Informações consolidadas dos exercícios findos em 30 de junho de 2018 e 2017.,2018-07-30
19348,Informações consolidadas dos exercícios findos em 30 de setembro de 2018 e 2017.,2018-10-29
19348,Informações sobre o resultado do 4º trimestre de 2018,2019-02-04
19348,Informações sobre o Resultado do 2º Trimestre de 2019.,2019-07-29
19348,Informações sobre o resultado do 3º trimestre de 2019,2019-11-04
19348,Informações sobre o resultado do 1º trimestre de 2019,2019-05-02
19348,Informações sobre o Resultado do 4º Trimestre de 2019.,2020-02-10
19348,Informações sobre o Resultado do 1º Trimestre de 2020.,2020-05-04
19348,Informações sobre o Resultado do 2º Trimestre de 2020.,2020-08-04
19348,Comunicado ao Mercado - Apresentação a analistas - Informações sobre o resultado do 3º trimestre de 2020,2020-11-04
19348,Informações sobre o Resultado do 4º Trimestre de 2020.,2021-02-02
19348,Informações sobre o Resultado do 1º Trimestre de 2021.,2021-05-04
19348,Informações sobre o Resultado do 2º Trimestre de 2021.,2021-08-03
19348,Informações sobre o Resultado do 4º Trimestre de 2021.,2022-02-11
19348,Informações sobre o Resultado do 1º Trimestre de 2022.,2022-05-09
19348,Informações sobre o Resultado do 2º Trimestre de 2022.,2022-08-09
