CD_CVM,DT_RECEB
019348,2011-05-03
019348,2011-08-02
019348,2011-08-03
019348,2011-11-01
019348,2012-04-24
019348,2012-07-24
019348,2012-07-24
019348,2012-10-30
019348,2012-10-23
019348,2013-04-30
019348,2013-07-30
019348,2013-10-29
019348,2014-04-29
019348,2014-08-05
019348,2014-11-04
019348,2015-05-05
019348,2015-08-04
019348,2015-11-03
019348,2016-05-03
019348,2016-08-02
019348,2016-08-02
019348,2016-10-31
019348,2017-05-03
019348,2017-07-31
019348,2017-08-11
019348,2017-10-30
019348,2018-05-01
019348,2018-07-30
019348,2018-10-29
019348,2019-05-02
019348,2019-07-29
019348,2019-11-25
019348,2019-11-04
019348,2020-05-04
019348,2020-08-03
019348,2020-11-03
019348,2021-05-03
019348,2021-08-02
019348,2021-11-03
019348,2022-05-09
019348,2022-08-08
019348,2022-11-10
